GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAPCE3,82,"...","    Food services ","Millions of current dollars",2137.6,2272.1,2567.7,2873.3,2949.0,3059.1,3331.3,3745.1,4170.5,4543.5,4805.8,4869.8,4532.1,4688.1,4981.6,5059.2,5318.9,5655.1,6040.2,6286.4,6579.1,6800.2,7060.6,5632.6,7409.5,9033.5
 "32000","Nevada",8,SAPCE3,83,"...","     Purchased meals and beverages ","Millions of current dollars",2055.9,2188.1,2474.4,2775.4,2849.9,2960.0,3224.0,3629.9,4040.8,4397.0,4651.3,4713.1,4376.5,4532.2,4810.2,4885.4,5136.8,5457.7,5827.0,6052.4,6329.4,6539.3,6792.5,5418.0,7167.6,8742.0
 "32000","Nevada",8,SAPCE3,84,"...","     Food furnished to employees (including military) ","Millions of current dollars",81.7,84.0,93.3,97.9,99.1,99.1,107.3,115.2,129.7,146.5,154.6,156.7,155.6,155.9,171.4,173.8,182.0,197.3,213.2,233.9,249.7,260.9,268.2,214.6,241.9,291.5
 "32000","Nevada",8,SAPCE3,85,"...","    Accommodations ","Millions of current dollars",470.0,489.8,539.5,578.1,539.2,556.4,594.8,669.3,799.2,887.1,942.6,908.7,902.8,975.7,1060.8,1195.5,1286.8,1381.2,1601.5,1737.1,1902.5,2157.5,2449.6,1689.6,2400.8,3194.1
 "32000","Nevada",8,SAPCE3,86,"...","   Financial services and insurance ","Millions of current dollars",3443.0,3757.6,4153.4,4736.4,4662.9,4883.9,5221.1,5787.8,6481.2,6853.0,7314.4,7357.3,6616.2,6932.0,7209.2,7365.5,7664.0,8126.0,8677.7,8907.0,9662.5,10267.5,10546.1,10918.3,12137.5,12660.8
 "32000","Nevada",8,SAPCE3,87,"...","    Financial services ","Millions of current dollars",2638.6,2869.3,3194.1,3641.0,3510.9,3648.7,3909.6,4369.1,4918.7,5260.6,5648.2,5664.8,5046.7,5266.5,5502.2,5771.8,6056.0,6346.0,6780.8,6957.1,7345.4,7607.8,7782.1,8073.3,8943.0,9403.6
 "32000","Nevada",8,SAPCE3,88,"...","     Financial services furnished without payment ","Millions of current dollars",1577.7,1622.0,1702.8,1878.6,1852.5,1928.8,2093.5,2349.0,2626.0,2673.7,2868.2,2824.8,2407.5,2616.1,2662.6,2606.7,2689.6,2805.9,3196.6,3344.2,3703.8,3861.7,3931.4,3999.5,4212.7,4641.9
 "32000","Nevada",8,SAPCE3,89,"...","     Financial service charges, fees, and commissions ","Millions of current dollars",1060.9,1247.3,1491.3,1762.4,1658.5,1719.9,1816.1,2020.1,2292.7,2586.8,2780.0,2840.0,2639.1,2650.4,2839.6,3165.2,3366.4,3540.0,3584.1,3612.9,3641.5,3746.1,3850.7,4073.8,4730.3,4761.7
 "32000","Nevada",8,SAPCE3,90,"...","    Insurance ","Millions of current dollars",804.3,888.3,959.3,1095.5,1152.0,1235.2,1311.5,1418.7,1562.6,1592.4,1666.2,1692.5,1569.5,1665.6,1707.0,1593.6,1608.0,1780.0,1896.9,1949.9,2317.2,2659.7,2764.0,2845.0,3194.6,3257.2
 "32000","Nevada",8,SAPCE3,91,"...","     Life insurance ","Millions of current dollars",250.2,259.5,267.4,323.8,311.8,316.1,334.3,411.2,455.0,494.1,512.8,517.0,472.4,480.1,506.0,498.2,496.3,527.6,566.8,488.2,602.2,629.4,622.7,624.4,649.2,695.8
 "32000","Nevada",8,SAPCE3,92,"...","     Net household insurance ","Millions of current dollars",14.0,18.1,20.6,24.2,28.1,30.0,36.6,44.9,49.2,49.6,64.1,70.7,63.2,64.1,63.6,59.4,63.6,74.7,82.4,89.9,96.6,95.6,104.2,111.3,113.7,118.5
 "32000","Nevada",8,SAPCE3,93,"...","     Net health insurance ","Millions of current dollars",364.1,405.0,434.0,487.8,528.8,581.7,593.0,564.9,619.2,602.0,578.5,575.4,515.8,620.5,644.7,571.7,601.9,730.9,797.9,912.9,1104.9,1453.4,1496.1,1568.7,1757.1,1745.4
 "32000","Nevada",8,SAPCE3,94,"...","     Net motor vehicle and other transportation insurance ","Millions of current dollars",176.0,205.7,237.5,259.6,283.3,307.4,347.6,397.7,439.1,446.6,510.9,529.4,518.1,500.9,492.7,464.3,446.1,446.9,449.8,458.8,513.5,481.3,540.9,540.5,674.5,697.5
 "32000","Nevada",8,SAPCE3,95,"...","   Other services ","Millions of current dollars",3153.0,3401.4,3569.2,3957.5,4253.3,4598.0,4888.5,5338.4,5764.2,6310.4,6621.5,6726.3,6469.7,6580.1,6717.4,6778.9,6803.7,7096.4,7248.7,7671.8,8229.8,8722.0,9188.9,8336.6,9562.2,10811.2
 "32000","Nevada",8,SAPCE3,96,"...","    Communication ","Millions of current dollars",790.1,862.9,965.2,1070.2,1115.7,1165.9,1165.7,1169.2,1196.4,1194.8,1235.2,1235.2,1171.7,1189.8,1186.9,1191.4,1217.2,1318.2,1327.8,1391.1,1402.6,1436.5,1410.7,1380.1,1554.6,1735.7
 "32000","Nevada",8,SAPCE3,97,"...","     Telecommunication services ","Millions of current dollars",725.8,788.7,865.0,938.5,980.6,1013.5,989.1,991.0,1005.5,987.0,982.2,950.6,878.9,880.7,867.5,842.4,863.6,923.2,892.0,914.5,913.1,926.3,901.7,868.0,964.2,1057.9
 "32000","Nevada",8,SAPCE3,98,"...","     Postal and delivery services ","Millions of current dollars",49.2,50.7,53.6,55.0,57.1,57.4,63.3,69.5,75.6,89.3,97.0,107.6,102.9,102.6,94.9,85.3,86.7,91.8,95.1,99.8,94.9,99.3,101.5,102.9,112.6,128.8
 "32000","Nevada",8,SAPCE3,99,"...","     Internet access ","Millions of current dollars",15.1,23.5,46.5,76.8,78.0,95.0,113.4,108.7,115.2,118.5,156.1,176.9,190.0,206.5,224.5,263.7,266.9,303.1,340.7,376.8,394.5,410.9,407.4,409.3,477.8,548.9
 "32000","Nevada",8,SAPCE3,100,"...","    Education services ","Millions of current dollars",463.7,503.6,520.0,535.0,576.1,617.9,706.3,823.1,969.6,1115.3,1286.4,1383.5,1421.3,1488.3,1524.1,1514.9,1627.5,1706.6,1767.9,1880.7,2004.6,2088.1,2151.5,2102.8,2177.3,2374.4
 "32000","Nevada",8,SAPCE3,101,"...","     Higher education ","Millions of current dollars",230.4,250.8,249.0,248.8,272.0,288.6,343.5,400.7,464.1,532.8,612.6,685.8,734.9,793.3,829.4,838.2,900.8,933.9,937.7,975.9,994.1,1009.9,1029.6,1035.2,1038.4,1082.0
 "32000","Nevada",8,SAPCE3,102,"...","     Nursery, elementary, and secondary schools ","Millions of current dollars",121.7,130.6,138.9,148.2,156.6,170.1,177.3,189.0,201.8,214.2,225.0,238.8,242.6,233.2,231.5,232.5,243.2,249.2,263.6,282.4,296.7,316.8,321.0,310.8,317.9,352.5
 "32000","Nevada",8,SAPCE3,103,"...","     Commercial and vocational schools ","Millions of current dollars",111.7,122.3,132.1,138.1,147.4,159.2,185.6,233.3,303.8,368.3,448.7,458.9,443.8,461.8,463.2,444.1,483.5,523.4,566.6,622.4,713.9,761.4,800.9,756.8,821.0,939.9
 "32000","Nevada",8,SAPCE3,104,"...","    Professional and other services ","Millions of current dollars",842.8,912.0,1000.5,1090.0,1199.0,1336.5,1425.8,1544.1,1635.3,1760.0,1863.2,1855.7,1764.1,1797.1,1873.0,1868.8,1893.8,1895.4,1946.2,2045.8,2194.3,2229.8,2370.5,2366.4,2634.0,2802.0
 "32000","Nevada",8,SAPCE3,105,"...","    Personal care and clothing services ","Millions of current dollars",450.9,510.9,533.1,609.2,640.4,729.0,748.2,845.1,934.2,979.3,949.0,968.3,892.1,932.7,994.5,1036.2,1078.3,1142.7,1180.5,1359.3,1509.0,1631.0,1682.0,992.8,1205.0,1482.6
 "32000","Nevada",8,SAPCE3,106,"...","    Social services and religious activities ","Millions of current dollars",250.0,278.2,306.7,337.2,382.9,404.7,429.3,465.9,504.4,538.7,566.2,599.9,615.0,648.8,681.6,698.7,737.9,804.7,872.0,954.6,1040.1,1120.6,1180.1,1182.1,1351.2,1439.5
 "32000","Nevada",8,SAPCE3,107,"...","    Household maintenance ","Millions of current dollars",306.4,364.6,365.3,405.7,404.3,404.8,427.6,484.5,540.2,589.0,634.4,596.4,502.4,458.3,458.9,468.3,502.0,550.1,577.5,589.6,603.2,662.1,693.3,678.2,728.7,781.1
 "32000","Nevada",8,SAPCE3,108,"...","    Net foreign travel ","Millions of current dollars",49.1,-30.9,-121.6,-89.8,-65.0,-60.8,-14.5,6.5,-15.9,133.3,87.0,87.4,103.1,65.1,-1.5,0.6,-253.1,-321.2,-423.3,-549.4,-523.9,-446.0,-299.1,-365.8,-88.6,196.0
 "32000","Nevada",8,SAPCE3,109,"...","     Foreign travel by U.S. residents ","Millions of current dollars",682.5,610.5,567.6,647.7,605.3,561.1,605.5,699.3,780.2,945.4,985.8,1038.6,989.2,1075.3,1107.0,1176.9,1068.7,1144.2,1204.0,1173.2,1267.7,1375.2,1464.0,376.0,666.9,1648.2
 "32000","Nevada",8,SAPCE3,110,"...","     Less: Expenditures in the United States by nonresidents ","Millions of current dollars",633.4,641.4,689.1,737.5,670.4,621.9,620.0,692.8,796.0,812.2,898.8,951.3,886.1,1010.2,1108.5,1176.2,1321.8,1465.3,1627.2,1722.5,1791.6,1821.2,1763.1,741.8,755.5,1452.2
 "32000","Nevada",8,SAPCE3,111,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Millions of current dollars",576.7,518.0,672.0,685.0,734.0,851.0,854.0,850.0,931.0,1511.0,1762.0,2001.4,1964.0,2106.4,2279.9,2569.6,2701.7,2811.6,2934.8,3228.5,3451.1,3816.4,3808.2,4502.4,4341.3,5056.3
 "32000","Nevada",8,SAPCE3,112,"...","   Gross output of nonprofit institutions ","Millions of current dollars",2823.0,3023.0,3320.0,3420.0,3650.0,4013.0,4387.0,4722.0,5383.0,6178.0,6802.0,7417.6,7711.4,8128.5,8592.7,9216.3,9458.8,9952.0,10442.1,11185.7,11740.7,12850.6,13325.0,13734.7,14611.1,15608.9
 "32000","Nevada",8,SAPCE3,113,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Millions of current dollars",2246.3,2505.0,2648.0,2735.0,2916.0,3162.0,3533.0,3872.0,4452.0,4667.0,5040.0,5416.2,5747.4,6022.1,6312.8,6646.7,6757.1,7140.4,7507.3,7957.2,8289.6,9034.2,9516.9,9232.3,10269.8,10552.5
 "33000","New Hampshire",1,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",27590.4,29629.6,31953.0,34576.4,36590.7,38488.0,41132.5,43735.2,46409.1,48795.0,51242.1,52038.1,51722.7,53357.3,54918.3,56524.0,58076.5,59367.3,61727.9,63337.2,66704.2,69023.5,71097.1,70800.5,78403.1,84869.2
 "33000","New Hampshire",1,SAPCE3,2,"..."," Goods ","Millions of current dollars",10189.7,10757.5,11723.3,12498.4,13093.8,13663.4,14604.9,15472.2,16137.7,16590.4,16906.9,16910.8,15953.6,16586.3,17238.3,17766.1,18459.5,19176.8,19316.7,19657.2,20431.3,21183.9,21695.7,22624.4,26050.0,28763.7
 "33000","New Hampshire",1,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",3446.4,3808.3,4151.4,4342.2,4585.7,4924.4,5349.3,5556.1,5728.1,5689.3,5748.8,5381.6,4988.3,5184.1,5268.8,5511.8,5835.7,6159.2,6504.4,6656.8,6842.0,7097.1,7261.1,7783.3,9574.0,10232.6
 "33000","New Hampshire",1,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",1596.6,1771.2,1906.6,1950.7,2126.0,2259.7,2400.1,2312.2,2289.0,2139.7,2101.2,1830.5,1782.8,1902.5,1969.0,2094.3,2316.8,2542.4,2785.1,2799.9,2921.2,3026.2,3022.3,3085.1,4024.2,4093.2
 "33000","New Hampshire",1,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",951.6,1066.8,1166.2,1210.3,1365.0,1465.2,1610.4,1527.6,1485.3,1350.9,1313.7,1068.3,1015.3,1107.7,1222.7,1353.6,1484.7,1617.6,1719.9,1672.0,1712.3,1754.7,1776.5,1870.2,2301.1,2389.6
 "33000","New Hampshire",1,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",498.5,553.3,582.6,580.4,599.6,625.6,603.9,593.7,593.2,568.9,559.6,535.2,546.5,565.5,502.8,487.3,553.0,628.9,749.7,800.0,862.2,920.6,886.8,858.0,1296.0,1246.2
 "33000","New Hampshire",1,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",146.6,151.1,157.8,160.0,161.3,168.9,185.8,190.9,210.5,219.9,227.9,227.1,221.0,229.3,243.6,253.5,279.1,295.9,315.4,328.0,346.8,350.9,359.0,356.9,427.0,457.4
 "33000","New Hampshire",1,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",729.6,798.3,877.3,960.5,1001.6,1098.8,1238.0,1341.6,1353.4,1367.8,1310.3,1240.4,1133.8,1163.1,1184.3,1230.1,1272.9,1329.2,1401.2,1470.6,1496.1,1559.7,1637.3,1839.4,2185.8,2325.3
 "33000","New Hampshire",1,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",445.7,488.3,536.9,586.6,601.0,646.4,737.0,807.4,817.3,834.5,806.6,754.1,680.2,698.9,710.4,745.2,757.0,779.0,821.9,859.7,872.8,922.5,978.8,1072.0,1315.3,1395.9
 "33000","New Hampshire",1,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",128.4,138.4,151.1,159.0,172.3,193.3,204.2,218.6,229.2,229.9,221.9,213.9,194.2,200.2,207.6,215.1,230.1,242.3,250.6,261.2,265.9,265.6,266.0,301.4,351.8,378.4
 "33000","New Hampshire",1,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",101.2,113.7,124.9,145.3,153.8,178.9,212.8,221.4,209.7,206.7,195.6,189.7,175.2,169.2,160.5,157.0,160.5,168.7,176.7,181.2,178.5,183.5,196.8,231.8,261.1,278.3
 "33000","New Hampshire",1,SAPCE3,12,"...","    Tools and equipment for house and garden ","Millions of current dollars",54.3,58.0,64.3,69.6,74.6,80.2,83.9,94.3,97.3,96.6,86.2,82.7,84.2,94.7,105.8,112.7,125.4,139.3,152.1,168.4,178.9,188.1,195.7,234.2,257.6,272.7
 "33000","New Hampshire",1,SAPCE3,13,"...","   Recreational goods and vehicles ","Millions of current dollars",723.8,810.8,900.0,947.7,973.6,1049.2,1145.3,1273.3,1404.6,1453.5,1565.2,1535.8,1330.2,1334.0,1308.7,1336.4,1370.4,1381.0,1391.9,1454.8,1501.3,1576.1,1652.9,1956.9,2221.5,2533.4
 "33000","New Hampshire",1,SAPCE3,14,"...","    Video, audio, photographic, and information processing equipment and media ","Millions of current dollars",464.3,515.1,540.7,549.8,567.0,635.5,702.8,793.9,895.5,955.7,1044.2,1025.1,882.9,889.0,875.8,889.5,916.0,871.9,889.4,919.5,967.2,1034.7,1093.4,1297.9,1475.6,1732.8
 "33000","New Hampshire",1,SAPCE3,15,"...","    Sporting equipment, supplies, guns, and ammunition ","Millions of current dollars",106.5,121.4,149.9,156.4,159.8,158.2,171.8,196.2,206.6,198.1,208.0,207.3,196.3,190.5,192.5,200.6,191.6,195.7,200.4,209.7,177.5,188.2,197.0,261.7,283.3,296.9
 "33000","New Hampshire",1,SAPCE3,16,"...","    Sports and recreational vehicles ","Millions of current dollars",68.7,82.9,100.2,117.3,119.2,121.8,133.8,142.6,148.8,142.1,140.1,122.6,97.2,101.8,112.4,125.7,140.5,157.6,175.8,189.6,218.8,217.3,221.9,253.8,307.8,324.4
 "33000","New Hampshire",1,SAPCE3,17,"...","    Recreational books ","Millions of current dollars",71.5,77.2,93.9,106.8,109.0,112.6,115.7,118.8,132.1,135.7,151.3,161.3,137.7,136.8,112.0,103.6,104.8,137.1,106.6,116.2,118.1,116.2,120.8,122.0,128.5,148.6
 "33000","New Hampshire",1,SAPCE3,18,"...","    Musical instruments ","Millions of current dollars",12.8,14.1,15.3,17.4,18.5,21.1,21.2,21.8,21.7,21.9,21.5,19.5,16.0,15.9,16.0,17.0,17.4,18.7,19.6,19.8,19.7,19.6,19.8,21.4,26.3,30.7
 "33000","New Hampshire",1,SAPCE3,19,"...","   Other durable goods ","Millions of current dollars",396.3,428.1,467.5,483.3,484.5,516.7,565.9,629.1,681.0,728.3,772.1,774.8,741.6,784.4,806.8,851.0,875.5,906.6,926.2,931.5,923.5,935.0,948.6,901.9,1142.6,1280.8
 "33000","New Hampshire",1,SAPCE3,20,"...","    Jewelry and watches ","Millions of current dollars",158.6,168.0,187.0,189.7,187.0,192.3,204.0,225.1,232.0,242.4,236.5,224.3,201.7,207.1,210.5,222.1,229.3,229.6,229.5,222.0,212.8,217.0,218.1,214.5,306.1,331.6
 "33000","New Hampshire",1,SAPCE3,21,"...","    Therapeutic appliances and equipment ","Millions of current dollars",128.4,141.1,152.2,164.7,163.0,176.2,195.4,220.4,250.2,269.4,292.9,291.5,295.3,308.2,320.1,325.5,331.6,340.2,348.4,349.3,350.5,363.1,379.6,369.6,438.9,473.7
 "33000","New Hampshire",1,SAPCE3,22,"...","    Educational books ","Millions of current dollars",47.8,51.0,50.5,45.8,49.7,55.7,58.5,62.1,69.5,68.3,75.9,90.6,77.6,88.5,89.8,95.6,92.2,92.3,90.0,101.3,99.9,98.5,95.8,76.3,90.9,104.0
 "33000","New Hampshire",1,SAPCE3,23,"...","    Luggage and similar personal items ","Millions of current dollars",41.4,45.1,53.2,57.1,55.8,57.9,64.5,72.7,77.8,86.9,95.2,94.5,90.2,94.5,95.5,102.7,108.3,112.3,116.5,121.3,121.5,122.4,124.8,119.3,159.7,193.2
 "33000","New Hampshire",1,SAPCE3,24,"...","    Telephone and related communication equipment ","Millions of current dollars",20.1,22.8,24.6,25.9,29.0,34.6,43.5,48.8,51.6,61.3,71.6,73.9,76.7,86.2,90.9,105.1,114.1,132.2,141.7,137.7,138.6,134.1,130.3,122.2,147.0,178.3
 "33000","New Hampshire",1,SAPCE3,25,"...","  Nondurable goods ","Millions of current dollars",6743.3,6949.2,7572.0,8156.2,8508.2,8739.0,9255.6,9916.1,10409.5,10901.2,11158.1,11529.2,10965.3,11402.2,11969.4,12254.3,12623.9,13017.6,12812.3,13000.4,13589.2,14086.9,14434.7,14841.1,16475.9,18531.1
 "33000","New Hampshire",1,SAPCE3,26,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",2599.1,2650.4,2824.4,3004.4,3153.6,3240.2,3366.4,3596.1,3667.6,3789.7,3912.2,4079.3,4094.7,4177.7,4334.2,4493.8,4651.1,4771.0,4815.1,5027.7,5275.5,5434.0,5642.3,6268.4,6531.1,7241.8
 "33000","New Hampshire",1,SAPCE3,27,"...","    Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2258.1,2295.6,2437.0,2572.2,2692.5,2757.5,2877.1,3079.0,3149.6,3246.6,3359.9,3524.4,3525.7,3600.9,3744.3,3878.6,4014.0,4106.8,4124.6,4284.6,4486.9,4607.8,4776.5,5251.4,5472.3,6092.6
 "33000","New Hampshire",1,SAPCE3,28,"...","    Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",339.9,353.8,386.5,431.3,460.3,481.8,488.5,516.3,517.4,542.3,551.6,554.3,568.5,576.2,589.4,614.8,636.4,662.7,689.4,742.3,788.3,825.8,865.3,1016.4,1058.2,1148.1
 "33000","New Hampshire",1,SAPCE3,29,"...","    Food produced and consumed on farms ","Millions of current dollars",1.1,1.1,1.0,0.9,0.8,0.9,0.8,0.8,0.7,0.8,0.7,0.6,0.5,0.6,0.5,0.4,0.7,1.5,1.1,0.8,0.4,0.4,0.4,0.6,0.7,1.1
 "33000","New Hampshire",1,SAPCE3,30,"...","   Clothing and footwear ","Millions of current dollars",1454.0,1515.2,1590.4,1630.5,1638.8,1648.2,1686.7,1758.1,1783.1,1797.8,1716.9,1666.0,1573.6,1630.1,1601.8,1681.5,1772.9,1844.2,1871.6,1914.7,1920.9,1930.9,1937.5,1697.7,2215.0,2383.1
 "33000","New Hampshire",1,SAPCE3,31,"...","    Garments ","Millions of current dollars",1188.5,1238.3,1292.8,1334.2,1339.1,1343.8,1372.9,1427.8,1439.7,1439.6,1371.3,1325.9,1253.3,1292.4,1268.6,1323.6,1387.1,1439.5,1454.7,1481.1,1485.7,1488.8,1488.7,1302.7,1698.9,1833.2
 "33000","New Hampshire",1,SAPCE3,32,"...","     Women's and girls' clothing ","Millions of current dollars",685.7,718.0,751.0,782.2,799.2,805.2,827.6,869.2,880.4,884.8,845.5,809.3,761.6,787.5,772.2,812.4,845.5,870.6,873.0,885.1,880.3,888.4,890.1,778.2,1024.0,1107.1
 "33000","New Hampshire",1,SAPCE3,33,"...","     Men's and boys' clothing ","Millions of current dollars",441.0,455.1,469.4,475.8,460.1,456.5,458.1,465.2,460.1,450.7,420.6,408.9,387.8,400.4,396.8,415.0,439.5,461.2,470.4,481.7,487.6,486.4,486.8,426.0,552.3,597.4
 "33000","New Hampshire",1,SAPCE3,34,"...","     Children's and infants' clothing ","Millions of current dollars",61.7,65.2,72.4,76.2,79.8,82.1,87.2,93.4,99.2,104.0,105.3,107.7,103.9,104.4,99.6,96.2,102.2,107.7,111.3,114.3,117.8,113.9,111.9,98.5,122.5,128.7
 "33000","New Hampshire",1,SAPCE3,35,"...","    Other clothing materials and footwear ","Millions of current dollars",265.5,276.9,297.6,296.4,299.7,304.3,313.8,330.4,343.4,358.2,345.5,340.2,320.3,337.8,333.2,357.9,385.7,404.8,416.8,433.6,435.2,442.1,448.7,395.0,516.0,549.9
 "33000","New Hampshire",1,SAPCE3,36,"...","   Gasoline and other energy goods ","Millions of current dollars",686.6,626.8,685.4,883.6,908.5,875.5,1066.8,1234.2,1486.6,1661.7,1751.0,1948.4,1409.8,1635.8,1980.6,1959.4,2000.5,1979.0,1549.2,1370.8,1612.0,1804.2,1735.0,1278.6,1815.2,2434.3
 "33000","New Hampshire",1,SAPCE3,37,"...","    Motor vehicle fuels, lubricants, and fluids ","Millions of current dollars",640.7,587.0,644.4,829.7,850.8,820.2,987.6,1150.6,1384.4,1546.8,1617.5,1787.8,1289.1,1509.7,1838.9,1834.1,1861.0,1823.2,1427.9,1276.2,1501.5,1674.9,1610.8,1176.3,1698.3,2249.2
 "33000","New Hampshire",1,SAPCE3,38,"...","    Fuel oil and other fuels ","Millions of current dollars",45.9,39.8,41.1,53.9,57.6,55.3,79.2,83.6,102.2,114.9,133.6,160.6,120.8,126.0,141.7,125.3,139.5,155.8,121.2,94.6,110.5,129.3,124.2,102.2,116.9,185.1
 "33000","New Hampshire",1,SAPCE3,39,"...","   Other nondurable goods ","Millions of current dollars",2003.6,2156.8,2471.7,2637.7,2807.3,2975.2,3135.8,3327.7,3472.3,3652.0,3778.1,3835.5,3887.2,3958.6,4052.8,4119.5,4199.4,4423.3,4576.4,4687.2,4780.8,4917.8,5119.9,5596.4,5914.6,6471.9
 "33000","New Hampshire",1,SAPCE3,40,"...","    Pharmaceutical and other medical products ","Millions of current dollars",505.5,588.6,723.5,778.6,892.2,1020.4,1120.6,1192.5,1263.6,1395.6,1493.9,1518.8,1545.3,1581.1,1638.7,1689.5,1700.5,1824.7,1914.4,1919.5,1929.9,1989.3,2099.3,2209.8,2229.5,2472.8
 "33000","New Hampshire",1,SAPCE3,41,"...","    Recreational items ","Millions of current dollars",407.6,430.1,471.0,508.4,528.9,550.7,556.7,595.5,619.0,628.4,628.8,640.3,648.7,669.7,684.9,690.7,728.2,774.9,809.0,843.0,863.8,890.2,932.6,1098.5,1272.0,1360.7
 "33000","New Hampshire",1,SAPCE3,42,"...","    Household supplies ","Millions of current dollars",364.7,374.0,400.5,423.1,438.7,460.1,493.6,511.7,516.5,522.9,513.2,519.2,517.5,523.4,542.1,560.7,568.8,586.5,594.1,612.5,618.8,632.5,651.5,738.2,797.3,853.1
 "33000","New Hampshire",1,SAPCE3,43,"...","    Personal care products ","Millions of current dollars",227.6,241.1,269.2,276.7,287.2,303.8,326.0,332.7,351.1,375.3,404.8,409.4,408.5,404.6,437.3,445.6,451.8,463.1,476.4,484.4,493.6,508.8,529.0,562.9,616.1,744.1
 "33000","New Hampshire",1,SAPCE3,44,"...","    Tobacco ","Millions of current dollars",295.9,308.4,366.2,393.6,409.8,416.2,414.6,440.6,443.5,449.3,446.7,439.5,500.8,508.0,498.6,477.4,492.1,500.9,524.8,563.3,600.0,599.0,594.6,620.1,623.2,609.5
 "33000","New Hampshire",1,SAPCE3,45,"...","    Magazines, newspapers, and stationery ","Millions of current dollars",202.2,214.5,241.3,257.3,250.6,224.0,224.2,254.7,278.7,280.6,290.6,308.1,266.4,271.8,251.2,255.7,257.9,273.2,257.8,264.5,274.7,298.1,312.9,367.0,376.5,431.7
 "33000","New Hampshire",1,SAPCE3,47,"..."," Services ","Millions of current dollars",17400.7,18872.1,20229.7,22078.0,23496.9,24824.6,26527.6,28263.0,30271.5,32204.5,34335.2,35127.4,35769.1,36771.1,37680.1,38757.9,39617.0,40190.5,42411.2,43680.1,46272.9,47839.5,49401.4,48176.1,52353.1,56105.5
 "33000","New Hampshire",1,SAPCE3,48,"...","  Household consumption expenditures (for services) ","Millions of current dollars",16613.8,17907.1,19197.7,20915.0,22180.9,23400.6,24971.6,26568.0,28428.5,30126.5,32213.2,32874.7,33498.6,34513.9,35345.5,36353.1,37144.9,37689.3,39809.3,40802.9,43377.0,44729.3,46199.7,44672.6,48906.9,52179.0
 "33000","New Hampshire",1,SAPCE3,49,"...","   Housing and utilities ","Millions of current dollars",5005.7,5304.5,5607.5,5989.1,6447.1,6684.2,7019.6,7397.1,8052.3,8470.4,9481.8,9296.1,9420.8,9654.5,9762.8,10227.5,10493.5,10218.4,11025.1,10745.6,11955.1,11715.4,12040.4,12817.7,13008.2,13911.8
 "33000","New Hampshire",1,SAPCE3,50,"...","    Housing ","Millions of current dollars",4373.8,4668.2,4959.1,5288.7,5693.4,5939.0,6198.1,6560.3,7055.8,7520.8,8439.9,8183.7,8377.7,8568.4,8666.2,9168.3,9362.3,9034.4,9835.1,9565.1,10687.2,10344.5,10663.2,11524.5,11561.1,12161.5
 "33000","New Hampshire",1,SAPCE3,51,"...","     Rental of tenant-occupied nonfarm housing ","Millions of current dollars",758.8,796.3,831.9,869.9,925.5,949.7,969.3,1027.7,1103.0,1217.1,1195.8,1285.1,1266.1,1405.3,1364.9,1459.1,1562.5,1544.5,1569.7,1591.3,1749.5,1677.4,1741.6,1718.8,1917.3,2022.9
 "33000","New Hampshire",1,SAPCE3,52,"...","     Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",3588.9,3845.1,4100.1,4386.0,4731.1,4950.0,5189.7,5492.1,5908.9,6270.8,7205.3,6858.7,7059.9,7111.3,7239.1,7648.0,7743.8,7426.9,8200.4,7941.1,8865.3,8620.0,8866.0,9749.2,9587.8,10077.3
 "33000","New Hampshire",1,SAPCE3,53,"...","     Rental value of farm dwellings ","Millions of current dollars",21.8,21.7,21.9,27.2,31.0,33.1,32.8,34.0,36.0,28.3,34.5,34.7,47.7,46.9,56.5,54.2,46.9,51.7,59.3,26.5,66.0,39.7,48.1,48.8,48.8,54.5
 "33000","New Hampshire",1,SAPCE3,54,"...","     Group housing ","Millions of current dollars",4.3,5.0,5.1,5.6,5.9,6.2,6.3,6.5,7.9,4.6,4.3,5.3,4.0,4.9,5.7,7.0,9.3,11.2,5.7,6.1,6.4,7.3,7.5,7.7,7.2,6.7
